Gene	Probe_ID	HMLE__pWZL__rep1	HMLE__pWZL__rep2	HMLE__pWZL__rep3	HMLE__TGFb__rep1	HMLE__TGFb__rep2	HMLE__TGFb__rep3	HMLE__Twist__rep1	HMLE__Twist__rep2	HMLE__Twist__rep3	HMLE__Gsc__rep1	HMLE__Gsc__rep2	HMLE__Gsc__rep3	HMLE__Snail__rep1	HMLE__Snail__rep2	HMLE__Snail__rep3	HMLE__shGFP__rep1	HMLE__shGFP_rep2	HMLE__shGFP_rep3	HMLE__shEcad__rep1	HMLE__shEcad__rep2	HMLE__shEcad__rep3
SPG20	212526_at,216965_x_at	7.42779650374303	7.66811277601629	7.57496119503178	7.74144182480409	7.65762173551517	7.83349626436444	7.79453948237407	7.81415632460228	7.84499928706402	8.10978744981908	8.00631130108966	8.17761305324739	7.71362264333775	7.70645588811418	7.93959295369402	7.57103390501763	7.61137688042356	7.56150784478047	7.9177391824588	7.70079655709153	7.63879508566223
SPG21	215383_x_at	6.04281688300266	6.18233885451577	6.33039386873986	6.01018873223912	5.94062568899785	6.10769221392035	6.08239979445608	6.03787270545162	6.30510720926291	6.0722976249967	6.05599056854155	5.99002334953745	6.01400064191198	6.01106172563726	6.04070702935396	6.34699365477061	6.20838980941623	6.31396503015014	6.1784929995852	6.06040472083524	6.11408741801163
SPG7	202104_s_at,214494_s_at	8.4896581335502	8.4413880083305	8.7180809017286	8.52974766172982	8.2921881166948	8.38917670113208	8.3197449217814	8.41929862498057	8.44652190468379	8.38059140314656	8.58793032411377	8.33544968872556	8.2718661175917	8.36415334822852	8.23970980132317	8.71570930927881	8.82466643802821	8.95368585150016	8.0835384426121	8.2392654650101	8.28270535518083
SPHAR	206272_at	7.30634382746228	7.2428810199769	7.04355318641024	7.16475963557659	7.37303140566371	7.29148524577705	7.77598353446302	7.43041529787138	7.57749827589065	7.72965182250594	7.83269150718488	7.76833556423257	7.63749936289268	7.53449823367889	7.85329302405136	6.92710158661667	6.70053196582923	7.03655816675732	6.926589504878	6.97751380548204	7.41269325069835
SPHK2	209857_s_at	5.49064789911097	5.44485101132041	5.99777328199285	5.64539241713789	5.48174159808837	5.52469330566219	5.58495078418648	5.73262526946754	5.81120670412286	6.0863603355898	5.6548687122487	5.53082192916637	5.65240622061655	5.46049208606049	5.40245549984137	5.26567205560317	5.75674124116037	5.66680262135817	5.6231955886208	5.6939728723653	5.49097132036649
SPI1	205312_at	5.23005497194601	5.21698883626584	5.15509860082457	5.11247873087188	5.10412507558871	5.14901325459053	4.96647555820496	5.13499152004684	5.1538560981941	5.24648162291339	5.20395570072451	5.13158858182037	5.07571624649432	5.02291036009718	5.21290440360219	5.55080352657906	5.11683065681463	5.29219928007956	5.32556904600338	5.15825983857445	5.27351736745672
SPIB	205861_at	5.08635969394885	5.28355629314154	5.29807205358534	5.16230848899467	5.28253987386231	5.0713206441138	5.36376404100748	5.04176179691492	5.34083040807384	5.22318940146393	5.1478299516823	5.41343053250032	5.15218420977829	5.22498102872503	5.04418847213194	5.16065404253203	5.35975139994398	5.03444011163534	4.97852242900225	5.15356355011907	5.06584559344517
SPICE1	215094_at	4.60386870095581	4.4535559408292	4.55963825339135	4.5792630922581	4.56002390862795	4.55865274609769	4.4730609423578	4.52904861757038	4.70156872836059	4.7331026009091	4.54810225062234	4.59417961075197	4.60891385378503	4.58977806184585	4.51146745670729	4.47748152087625	4.63883240666171	4.58324271954557	4.6709128431918	4.47918035319985	4.63137746847365
SPIDR	212523_s_at	6.4046437387436	6.72791856000394	7.00311746614953	6.39488387126663	6.40628734517029	6.63007530333875	6.6147111504897	6.64146503301264	6.40936489729398	6.9659868894515	6.7032315182207	6.7000278115266	6.47993124592431	6.42108457768034	6.79571064334901	6.41820000274615	6.6738694723725	6.33206776413922	6.31262835104182	6.66664663473686	6.61625435764599
SPIN2A	207841_at	4.77439850887625	4.69565050602413	4.68248281146355	4.95691583514997	4.83502903478413	4.50305474655921	4.62498562660422	4.59341719975916	4.77213784009778	4.65598619785141	4.61914431561471	4.61066458599759	4.62625641218004	4.74518825653322	4.58460235067358	4.76305770002187	4.68913254312342	4.67765524083361	4.65431246541378	4.68919090346047	4.65191915871365
SPIN2B///SPIN2A	211704_s_at	6.8641451034213	6.76565248960679	7.18260523964397	6.76680799787383	7.19741752882368	6.92406191341705	6.96943956779598	7.14625318856345	6.97250208966078	7.15652981014894	7.57314473163133	7.53380635349598	7.13009404109335	7.12731603041766	7.3819886513062	6.94336056440435	6.87607284983781	6.90059008822973	7.58310833852865	7.87701034553901	7.61658722079447
SPINK1	206239_s_at	4.74439797149362	4.8291139072842	4.83737355493889	4.95181232892659	5.02855980293685	5.05618916961821	4.80406747406987	4.80139148197218	4.77763787659435	4.85034868500827	4.95131170564426	4.94195173654881	4.92476392564292	4.98308880128507	4.80892111048899	4.99819847972437	4.67961930427499	4.97260054463419	5.07057212380575	4.90060414210273	4.87064904059229
SPINK2	206310_at	5.45990808999003	5.17619477685184	5.42620237625266	5.22403956089893	5.26474365678114	5.28846748229587	5.28287339128858	5.46547029681481	5.47383276904459	5.15248377750411	5.23401577665951	5.23435754206208	5.25719634154212	5.11672920118648	5.21671869085229	5.28815837990662	5.15245185017381	5.32763762159321	5.225852750262	5.28815837990662	5.33819333543866
SPINK4	207214_at	5.09489485305576	4.97733975929537	4.79474279858862	5.02488646312371	5.13525428196022	4.90136588350761	5.16812038702925	4.93356651104286	5.16269133945611	5.0297443735002	4.79200922283075	5.12504442896063	5.17072005314399	5.27325127039068	5.00567657868743	5.00591062757597	5.10949660807528	4.95958075196778	5.14646503685055	5.13377976131879	4.86276050856122
SPINK5	205185_at	5.57423023199001	5.56440921026006	5.41844638680232	5.15595154182151	5.35194325817599	5.31978408454823	5.14310699668409	5.28755178706589	5.21350750375824	5.28015372175248	5.19797496582393	5.56062062083633	5.21693098691071	5.10911491172082	5.00294721823566	5.77877832158839	5.43931561860327	5.4334093137001	5.30115655511125	5.22171826454796	5.32728568509841
SPINT1	202826_at	8.77020742764563	8.67493828372407	8.97672218573271	6.82539139762855	6.91379775169649	6.90738738505672	6.26418838763229	6.29191858626992	6.47384720682619	5.12182652096308	5.21213789218544	4.78844509244322	5.39906216828355	5.27911420411901	5.5536393979296	9.92485465076173	10.2732693996961	10.3816509946151	5.53758207974656	5.62151109416775	5.8003638540185
