Gene	Probe_ID	MCF7__biological_rep1	MCF7__biological_rep2	MCF7__biological_rep3	MCF7_silenced_Estrogen_receptor__biological_rep1	MCF7_silenced_Estrogen_receptor__biological_rep2	MCF7_silenced_Estrogen_receptor__biological_rep3
OBSL1	212775_at,212776_s_at,213946_s_at,214928_at,227573_s_at,227574_at,238776_x_at	6.80108	6.84425142857143	6.71613285714286	6.195	6.38223428571429	6.33599428571429
OCA2	206498_at	5.8666	5.86083	5.87235	5.69906	5.89341	5.91954
OCEL1	205441_at	7.38001	7.47945	7.40364	7.10389	7.22495	7.28463
OCIAD1	223010_s_at,223011_s_at,232644_x_at,235537_at,239748_x_at	9.080038	9.136612	9.164546	9.471364	9.460224	9.342112
OCIAD2	225314_at	10.8708	10.8228	10.8986	11.7439	11.5565	11.5456
OCLM	208274_at	5.40817	5.32833	5.04012	5.17189	5.11328	5.06154
OCLN	209925_at,227492_at,231022_at,235937_at	8.8432875	8.8270775	8.81971	6.76908	6.571165	6.628495
OCM2	207944_at	4.7493	4.62044	4.56805	4.55484	4.69972	4.31597
OCR1	224270_at	4.48818	4.4336	4.79149	4.41073	4.75469	4.60344
OCRL	203446_s_at,208316_s_at	8.46668	8.61331	8.368865	9.481025	9.24723	9.25223
ODAM	220133_at	4.39171	4.12881	4.31302	4.1682	4.30908	4.10064
ODC1	200790_at	12.0308	12.0699	12.0206	12.8092	12.6237	12.6666
ODF1	214485_at	5.37257	5.05314	5.05753	5.20078	5.26203	5.22352
ODF2	210415_s_at,225617_at	9.55001	9.5671	9.40322	9.037735	8.911435	8.92192
ODF2L	228577_x_at,230926_s_at,231909_x_at,237420_at	4.4065325	4.400805	4.35864	7.3948275	7.0231375	7.1071275
ODF3	1553051_s_at,233795_at	5.857785	5.734215	5.856475	5.388905	5.73402	5.72772
ODF3B	235257_at,238325_s_at,238326_at,238327_at,243934_at	5.561038	5.489042	5.59399	5.575864	5.445382	5.44772
ODF3L1	236245_at	4.14282	4.30444	4.10439	4.19994	4.25004	4.35064
ODF3L2	237620_at	5.88588	5.75565	5.65101	5.75711	5.85668	5.71687
ODF4	1552408_at,1552409_a_at	5.4674	5.36775	5.47773	5.15225	5.35825	5.21926
OFCC1	1553075_a_at,1553076_at,1555708_a_at,1562591_a_at,1564590_a_at,1564783_x_at,1564805_a_at,1565026_a_at,1565027_at,1565065_at,1565111_x_at	4.64329181818182	4.58105272727273	4.64118727272727	4.47364363636364	4.54844181818182	4.51893090909091
OFD1	203569_s_at,241751_at	7.60106	7.51611	7.553625	6.896185	6.677035	6.79658
OGDH	1554151_at,1554152_a_at,201282_at	6.80415	7.19682333333333	6.91037	6.68508666666667	6.99687	6.90012333333333
OGDHL	219277_s_at	6.75279	6.55352	6.6523	5.2627	5.18147	5.02737
OGFOD1	221090_s_at,225106_s_at,225109_at,225110_at,241739_at	8.196076	8.260448	8.10972	8.541134	8.408612	8.432896
OGFOD2	219245_s_at,219246_s_at,44617_at	7.69152333333333	7.78088	7.62441666666667	7.45716	7.41624	7.49599333333333
OGFOD3	219254_at,53071_s_at,64438_at	8.00581	8.06964	7.90187333333333	7.64576666666667	7.59069333333333	7.66808
OGFR	202841_x_at,210443_x_at,211512_s_at,211513_s_at	8.3147625	8.4046975	8.323795	7.91679	8.3661725	8.291595
OGFRL1	219582_at,226810_at,238469_at	8.55889	8.42093	8.45264666666667	10.1835633333333	10.1281066666667	10.2216
OGFRP1	1561537_at	6.29279	6.5073	6.29492	6.22866	6.70535	6.65071
OGG1	205301_s_at,205760_s_at,215272_at	7.30088333333333	7.28388333333333	7.23704666666667	6.92082	6.89803666666667	6.96162333333333
OGN	218730_s_at,222722_at	4.513285	4.51263	4.42662	4.317955	4.270575	4.247055
OGT	207563_s_at,207564_x_at,209240_at,212307_s_at,220594_at,229787_s_at	8.09576666666667	8.18371666666667	8.10635	9.249315	9.01502666666667	9.00857666666667
OIP5	213599_at	10.5543	10.5218	10.5031	10.0648	9.96399	10.0591
